subject;predicate;object
item/Artifact;dcterms:title;Green velvet flat cap
item/Artifact;schema:material;"Grey fabric veil, small 
triangular shaped, a nylon thread "
item/Artifact;schema:dateCreated;1880s
item/Artifact;dcterms:rightsHolder;organization/Royal London Hospital Museum
item/Artifact;dcterms:provenance;person/Joseph Merrick
item/Artifact;rdf:type;item/Artifact
item/Artifact;skos:broader;crm:E24_Physical_Human-Made_Thing
;;
;;
;;
;;
;;
