SUBJECT;PREDICATE;OBJECT
person/Joseph Merrick;rdf:type;foaf:Person
person/Joseph Merrick;gvp:ulan2550_friend_of;person/Frederick Treves
person/Joseph Merrick;dbo:residence;item/Hospital
person/Joseph Merrick;dbo:exhibition;place/Penny Gaff
person/Joseph Merrick;schema:birthDate;1862/08/05
person/Joseph Merrick;schema:deathDate;1890/04/11
person/Joseph Merrick;dcterms:temporal;time/Victorian Era
person/Joseph Merrick;dbo:residence;place/London
person/Joseph Merrick;owl:sameAs;http://viaf.org/viaf/62352264
